brand_name_raw,상호명,지점명,시도명,시군구명,match_method,match_confidence,review_reason
던킨/던킨도너츠,던킨도너츠약수점,,서울특별시,중구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠연대동문회관점,,서울특별시,서대문구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠광운대역점,,서울특별시,노원구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠태평양물산IT,,서울특별시,구로구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠영등포역사,2호점,서울특별시,영등포구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨길음뉴타운점,,서울특별시,성북구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨상암DMC역사점,,서울특별시,마포구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠동대문,시장점,서울특별시,종로구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도넛,,서울특별시,노원구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠영등포역사점,,서울특별시,영등포구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠수서역점,,서울특별시,강남구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨은평성모병원,,서울특별시,은평구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨장안,중앙점,서울특별시,동대문구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠울산반구점,,울산광역시,중구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠울산,성남점,울산광역시,중구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨완주봉동점,,전북특별자치도,완주군,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨울산동구,홈플러스점,울산광역시,동구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨울산삼산보건소점,,울산광역시,남구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도넛울산농협하나로점,,울산광역시,북구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠세종나성점,,세종특별자치시,세종특별자치시,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠세종정부,청사점,세종특별자치시,세종특별자치시,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨세종,보람점,세종특별자치시,세종특별자치시,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨도너츠세종나성점,,세종특별자치시,세종특별자치시,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨연세세브란스빌딩점,,서울특별시,중구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
던킨/던킨도너츠,던킨마곡양천향교역점,,서울특별시,강서구,prefix_short_brand,medium_short_brand,브랜드명이 짧아(4자 미만) 접두어가 일치해도 동명의 무관한 개인 상호일 가능성 있음
