brand_id,brand_name,store_id,store_name_raw,store_name_std,address_raw,address_std,sido_nm,ccg_nm,district_nm,ccg_id,district_cd,longitude,latitude,coordinate_source,store_status,match_method,match_confidence,area_id,area_name,area_type,spatial_join_status,exclusion_reason,source_name,source_date,_store_name_norm,_store_addr_norm,_brand_norm
BRD_20080100039,뚜레쥬르,MA010120220800499934,뚜레쥬르등촌역점,뚜레쥬르등촌역점,서울특별시 강서구 등촌로 215,서울특별시강서구등촌로215,서울특별시,강서구,강서구,11500,11500,126.863241832211,37.5489882808069,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120112,등촌역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르등촌역점,서울특별시강서구등촌로215,뚜레쥬르
BRD_20080100039,뚜레쥬르,MA010120220800500988,뚜레쥬르 가양점,뚜레쥬르가양점,서울특별시 강서구 허준로 23,서울특별시강서구허준로23,서울특별시,강서구,강서구,11500,11500,126.843595452977,37.5712184949461,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110652,양천향교역 2번,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르가양점,서울특별시강서구허준로23,뚜레쥬르
BRD_20080100039,뚜레쥬르,MA010120220800503296,뚜레쥬르서서울공원점,뚜레쥬르서서울공원점,서울특별시 양천구 남부순환로 431,서울특별시양천구남부순환로431,서울특별시,양천구,양천구,11470,11470,126.833025405338,37.5294878370112,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110601,신월1동우편취급국,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르서서울공원점,서울특별시양천구남부순환로431,뚜레쥬르
BRD_20080200064,파리바게뜨,MA010120220800503668,파리바게뜨송정역점,파리바게뜨송정역점,서울특별시 강서구 공항대로 24,서울특별시강서구공항대로24,서울특별시,강서구,강서구,11500,11500,126.80995617468,37.5611680941045,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120116,송정역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨송정역점,서울특별시강서구공항대로24,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800506528,파리바게뜨화곡곰달래점,파리바게뜨화곡곰달래점,서울특별시 강서구 곰달래로 178,서울특별시강서구곰달래로178,서울특별시,강서구,강서구,11500,11500,126.852662813671,37.530838439545,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110665,곰달래도서관,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨화곡곰달래점,서울특별시강서구곰달래로178,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800515181,파리바게뜨등촌2동점,파리바게뜨등촌2동점,서울특별시 강서구 등촌로39길 6,서울특별시강서구등촌로39길6,서울특별시,강서구,강서구,11500,11500,126.862037229048,37.5455991262195,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110672,백석중학교,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨등촌2동점,서울특별시강서구등촌로39길6,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800515580,파리바게뜨마곡 사거리점,파리바게뜨마곡사거리점,서울특별시 강서구 공항대로 168,서울특별시강서구공항대로168,서울특별시,강서구,강서구,11500,11500,126.826134264578,37.5592739054892,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120118,마곡역(마곡),발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨마곡사거리점,서울특별시강서구공항대로168,파리바게뜨
BRD_20080100039,뚜레쥬르,MA010120220800521590,뚜레쥬르명일역메가타운점,뚜레쥬르명일역메가타운점,서울특별시 강동구 구천면로 424,서울특별시강동구구천면로424,서울특별시,강동구,강동구,11740,11740,127.145576247708,37.550347255155,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120248,명일역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르명일역메가타운점,서울특별시강동구구천면로424,뚜레쥬르
BRD_20080200064,파리바게뜨,MA010120220800534171,파리바게뜨까치산역점,파리바게뜨까치산역점,서울특별시 강서구 강서로 49,서울특별시강서구강서로49,서울특별시,강서구,강서구,11500,11500,126.846188727925,37.5321546558741,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120121,까치산역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨까치산역점,서울특별시강서구강서로49,파리바게뜨
BRD_20080500016,던킨/던킨도너츠,MA010120220800543884,비알던킨도너츠김포공항국제주 코리아,비알던킨도너츠김포공항국제주코리아,서울특별시 강서구 하늘길 38,서울특별시강서구하늘길38,서울특별시,강서구,강서구,11500,11500,126.802957316013,37.5713648899321,소상공인시장진흥공단 상가(상권)정보,미확인,contains_nonprefix,low,3120115,김포공항역(김포공항),발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,비알던킨도너츠김포공항국제주코리아,서울특별시강서구하늘길38,던킨던킨도너츠
